"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.333342625E0,1.122269630E0,-2.155970968E-2,1.938407540E0,2.239950387E0
1.343309625E0,6.967499256E-1,-5.711059570E-1,1.826208472E0,2.036334908E0
1.353276625E0,3.375427425E-1,-4.598832130E-1,1.499176383E0,1.604044108E0
1.363243625E0,3.089502454E-1,1.659157127E-1,1.086579800E0,1.141767901E0
1.373210625E0,4.128484726E-1,8.205047846E-1,8.422074914E-1,1.246188357E0
1.383177625E0,3.539766073E-1,1.089487433E0,7.154583335E-1,1.350615761E0
1.393145625E0,3.680726141E-2,8.391902447E-1,5.063716173E-1,9.808196858E-1
1.403112625E0,-2.446747422E-1,2.144635618E-1,2.625634968E-1,4.180908259E-1
1.413079625E0,-1.359812319E-1,-4.684734344E-1,9.960146248E-2,4.978741865E-1
1.423046625E0,2.996203005E-1,-1.013636470E0,-3.706717119E-2,1.057641335E0
1.433013625E0,6.696304679E-1,-8.953913450E-1,-9.811300039E-2,1.122388874E0
1.442980625E0,8.286640644E-1,-7.047218829E-2,-2.784682810E-2,8.321213294E-1
1.452947625E0,8.891780376E-1,8.427318931E-1,1.794262081E-1,1.238155237E0
1.462914625E0,9.584292769E-1,1.356666565E0,3.185742497E-1,1.691336868E0
1.472881625E0,9.851010442E-1,1.402133703E0,3.046306372E-1,1.740460518E0
1.482849625E0,8.938640356E-1,8.294339180E-1,1.574891359E-1,1.229535020E0
1.492816625E0,5.723859668E-1,-4.754160047E-1,-2.018538304E-3,7.440767077E-1
1.502783625E0,3.054754436E-1,-1.038551331E0,-2.706636675E-2,1.082883512E0
1.512750625E0,2.036382407E-1,-6.037677526E-1,2.636863291E-1,6.895901046E-1
1.522717625E0,1.944721788E-1,1.818050165E-3,5.084707737E-1,5.443943987E-1
1.532684625E0,2.622749507E-1,2.749600410E-1,5.905873179E-1,7.022709976E-1
1.542651625E0,3.504631221E-1,1.376123130E-1,5.639431477E-1,6.780806902E-1
1.552618625E0,3.593234718E-1,-2.043994963E-1,5.151719451E-1,6.605260362E-1
1.562585625E0,2.847277820E-1,-4.887704849E-1,4.768863320E-1,7.398561147E-1
1.572552625E0,1.477747411E-1,-5.571390390E-1,4.488171935E-1,7.305327892E-1
1.582520625E0,-1.989682019E-2,-5.107187629E-1,4.066569507E-1,6.531457829E-1
1.592487625E0,-1.885449439E-1,-4.793457985E-1,3.446851671E-1,6.197817800E-1
1.602454625E0,-3.528774083E-1,-4.496371746E-1,2.782616615E-1,6.357087433E-1
1.612421625E0,-4.746192098E-1,-3.793601692E-1,2.253238559E-1,6.480342370E-1
1.622388625E0,-5.250722766E-1,-2.470199764E-1,1.830347180E-1,6.084582750E-1
1.632355625E0,-4.857065976E-1,-9.230933152E-3,1.514467597E-1,5.088538396E-1
1.642322625E0,-3.287295103E-1,4.776867926E-1,1.634469628E-1,6.024638350E-1
1.652289625E0,-1.122988686E-1,1.119128466E0,2.635065317E-1,1.155203554E0
1.662256625E0,5.158833414E-2,1.697146297E0,4.181136787E-1,1.748652612E0
1.672224625E0,1.227388978E-1,2.045594454E0,5.228740573E-1,2.114927608E0
1.682191625E0,1.326114982E-1,2.154009342E0,5.496537685E-1,2.226984805E0
1.692158625E0,1.467296481E-1,2.066660881E0,5.671245456E-1,2.148079849E0
1.702125625E0,2.174469680E-1,1.830694556E0,6.425873637E-1,1.952343275E0
1.712092625E0,3.594995141E-1,1.460162759E0,7.734459043E-1,1.691015597E0
1.722059625E0,5.623412728E-1,9.330301881E-1,8.843731880E-1,1.403171043E0
1.732026625E0,7.874863148E-1,3.393555582E-1,9.211629629E-1,1.258506295E0
1.741993625E0,1.002016187E0,-1.799222380E-1,9.322504997E-1,1.380398292E0
