"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.212882625E0,-4.152213037E-1,4.410924017E-1,-1.776720405E0,1.877153865E0
1.222849625E0,-8.276626468E-1,1.330818057E0,-1.737884521E0,2.340159133E0
1.232817625E0,-8.875578046E-1,1.852885365E0,-1.493572712E0,2.540020173E0
1.242784625E0,-6.413989067E-1,1.671697974E0,-1.328104973E0,2.229311439E0
1.252752625E0,-2.538283467E-1,9.165569544E-1,-1.355840683E0,1.656142940E0
1.262719625E0,7.631921023E-2,4.554691911E-2,-1.475472212E0,1.478146607E0
1.272686625E0,1.890028417E-1,-6.170216799E-1,-1.615170121E0,1.739313758E0
1.282654625E0,4.687259719E-2,-9.940397739E-1,-1.676794648E0,1.949859586E0
1.292621625E0,-2.367289960E-1,-1.206388354E0,-1.683329821E0,2.084469420E0
1.302589625E0,-4.875904918E-1,-1.407889485E0,-1.587372065E0,2.177073118E0
1.312556625E0,-6.644701958E-1,-1.623725891E0,-1.383592129E0,2.234353058E0
1.322524625E0,-7.103756666E-1,-1.712883234E0,-1.127764106E0,2.170358136E0
1.332492125E0,-6.514922380E-1,-1.612334013E0,-9.126170874E-1,1.963907598E0
1.342460125E0,-5.539517999E-1,-1.400883555E0,-7.566050887E-1,1.685760538E0
1.352427125E0,-4.414445758E-1,-1.120815635E0,-6.020930409E-1,1.346705993E0
1.362394125E0,-3.123824596E-1,-8.323706388E-1,-4.528644383E-1,9.977524147E-1
1.372362125E0,-1.672232151E-1,-5.697684288E-1,-3.074897528E-1,6.686924661E-1
1.382329125E0,4.187740851E-4,-3.733480573E-1,-1.554299146E-1,4.044099474E-1
1.392297125E0,1.811973751E-1,-2.319546491E-1,1.599679329E-2,2.947733797E-1
1.402264125E0,3.673153222E-1,-1.500669867E-1,2.126099765E-1,4.501595812E-1
1.412232125E0,5.535967350E-1,-1.546974480E-1,4.448640347E-1,7.268456884E-1
1.422199125E0,7.497302890E-1,-2.119021565E-1,7.448177338E-1,1.077845762E0
1.432167125E0,9.708619118E-1,-3.159880340E-1,1.109588504E0,1.507848778E0
1.442134125E0,1.198202729E0,-5.140630603E-1,1.475703120E0,1.969175033E0
1.452101125E0,1.381752372E0,-8.559485078E-1,1.783498049E0,2.413038076E0
1.462069125E0,1.408800244E0,-1.320588231E0,2.037085295E0,2.806846612E0
1.472036125E0,1.033844471E0,-1.795264125E0,2.283401012E0,3.083136042E0
1.482004125E0,-1.212592237E-2,-2.052490234E0,2.427136183E0,3.178655887E0
1.491971125E0,-1.037704706E0,-1.519979835E0,2.120830059E0,2.808040223E0
1.501939125E0,-7.958947420E-1,-6.080892086E-1,1.473091364E0,1.781353163E0
1.511906125E0,5.335012078E-2,3.083146736E-2,8.494778275E-1,8.517096890E-1
